"App name","Date","Time","Duration"
"Permission controller","4/19/24","11:50:27 AM","0:00:05"
"HoYoLAB","4/19/24","11:41:33 AM","0:08:53"
"Instagram","4/19/24","11:40:47 AM","0:00:47"
"Wireless Settings","4/19/24","11:40:30 AM","0:00:10"
"Screen on (unlocked)","4/19/24","11:40:19 AM","0:00:00"
"Screen on (locked)","4/19/24","11:40:15 AM","0:00:04"
"Screen off (locked)","4/19/24","11:36:41 AM","0:03:34"
"Screen on (locked)","4/19/24","11:36:31 AM","0:00:11"
"Screen off (locked)","4/19/24","11:36:13 AM","0:00:18"
"Screen on (locked)","4/19/24","11:36:03 AM","0:00:10"
"Screen off (locked)","4/19/24","11:35:50 AM","0:00:13"
"Screen on (locked)","4/19/24","11:35:38 AM","0:00:12"
"Screen off (locked)","4/19/24","11:35:03 AM","0:00:35"
"Screen on (locked)","4/19/24","11:34:52 AM","0:00:10"
"Screen off (locked)","4/19/24","11:24:00 AM","0:10:52"
"Screen on (locked)","4/19/24","11:23:50 AM","0:00:11"
"Screen off (locked)","4/19/24","11:21:51 AM","0:01:59"
"Screen on (locked)","4/19/24","11:21:40 AM","0:00:10"
"Screen off (locked)","4/19/24","10:53:17 AM","0:28:23"
"Screen on (locked)","4/19/24","10:53:07 AM","0:00:11"
"Screen off (locked)","4/19/24","10:53:04 AM","0:00:02"
"Screen on (locked)","4/19/24","10:52:54 AM","0:00:11"
"Screen off (locked)","4/19/24","10:52:52 AM","0:00:01"
"Screen on (locked)","4/19/24","10:52:42 AM","0:00:11"
"Screen off (locked)","4/19/24","10:52:39 AM","0:00:03"
"Screen on (locked)","4/19/24","10:52:29 AM","0:00:11"
"Screen off (locked)","4/19/24","10:52:17 AM","0:00:12"
"Screen on (locked)","4/19/24","10:52:06 AM","0:00:11"
"Screen off (locked)","4/19/24","10:36:15 AM","0:15:52"
"Screen on (locked)","4/19/24","10:36:04 AM","0:00:11"
"Screen off (locked)","4/19/24","10:35:58 AM","0:00:06"
"Screen on (locked)","4/19/24","10:35:47 AM","0:00:11"
"Screen off (locked)","4/19/24","10:27:15 AM","0:08:33"
"Screen on (locked)","4/19/24","10:27:04 AM","0:00:11"
"Screen off (locked)","4/19/24","10:24:16 AM","0:02:48"
"Screen on (locked)","4/19/24","10:24:05 AM","0:00:10"
"Screen off (locked)","4/19/24","10:07:33 AM","0:16:32"
"Screen on (locked)","4/19/24","10:07:23 AM","0:00:11"
"Screen off (locked)","4/19/24","10:02:46 AM","0:04:36"
"Screen on (locked)","4/19/24","10:02:35 AM","0:00:11"
"Screen off (locked)","4/19/24","9:48:09 AM","0:14:27"
"Screen on (locked)","4/19/24","9:47:58 AM","0:00:11"
"Screen off (locked)","4/19/24","9:44:56 AM","0:03:02"
"Screen on (locked)","4/19/24","9:44:46 AM","0:00:10"
"Screen off (locked)","4/19/24","9:35:56 AM","0:08:50"
"Screen on (locked)","4/19/24","9:35:43 AM","0:00:13"
"Screen off (locked)","4/19/24","9:33:53 AM","0:01:50"
"Screen on (locked)","4/19/24","9:33:44 AM","0:00:10"
"Screen off (locked)","4/19/24","9:32:30 AM","0:01:14"
"Screen on (locked)","4/19/24","9:32:15 AM","0:00:14"
"Screen off (locked)","4/19/24","9:28:00 AM","0:04:16"
"Messages","4/19/24","9:27:41 AM","0:00:12"
"GPay","4/19/24","9:27:04 AM","0:00:33"
"HoYoLAB","4/19/24","9:26:36 AM","0:00:18"
"Gmail","4/19/24","9:26:13 AM","0:00:17"
"Screen on (unlocked)","4/19/24","9:26:04 AM","0:00:00"
"Screen off","4/19/24","9:26:03 AM","0:00:01"
"Screen off (locked)","4/19/24","9:24:44 AM","0:01:19"
"Instagram","4/19/24","9:22:14 AM","0:02:30"
"Truecaller","4/19/24","9:21:55 AM","0:00:03"
"Contacts","4/19/24","9:21:54 AM","0:00:01"
"Phone","4/19/24","9:21:53 AM","0:00:01"
"Screen on (unlocked)","4/19/24","9:21:53 AM","0:00:00"
"Screen off","4/19/24","9:21:39 AM","0:00:15"
"Phone","4/19/24","9:21:38 AM","0:00:01"
"Screen on (unlocked)","4/19/24","9:21:37 AM","0:00:00"
"Screen off","4/19/24","9:21:36 AM","0:00:01"
"Phone","4/19/24","9:21:33 AM","0:00:03"
